sentiment,tweet
-1,laa haha sorry2 akualah paham 
-1,receeehh ah kamu
-1,sekurang kurang nya rm kalau budak yang miskin kau nk suruh mcm mana minta sedekah ke lepastu bila tak cukup kau 
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
-1,mau beli barang di shupe harganya sepuluh ribu tp ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak be 
-1,aku masih butuh selang waktu untuk mengerjakan visualnya biar mampus kalian menunggu sampai 3 kali rasain p
-1,kok gitu sama aku
-1,kukira aku introvert ternyata juga pedopil 
-1,omg kau jgn buat aku g kfc ppagi cmni 
-1,ada yg mau serius tapi aku nya masih raguuu gmn donggg yaudah jangan dikasih harapan dianya kasiaan 
-1,kalau jadi atasan gausah sombong2 deh menindas karyawan apa kamu langsung jadi milyuner melarang orang ga masuk karena ada 
-1,kayak woojin kesringan barengih dasar anak kembar 
-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
-1,dulu waktu kecil aku bercita cita ingin menjadi seorang pengkhianat 
-1,tu lah dulu aku paling malas nk kutip sebab malu kot mintak duit kt orang
-1,rama gak usah ganggu aku sama karya ya tolong 
-1,jangan begadang jangan minum2an soda jangan kau pilih dia pilihlah aku yang mampu mencintamu lebih dari dia 
-1,td mikirnya gtu pngn ngegas jg tp apalah aku ini hanya orng kecil tidak pnya pengaruh jd ngegasnya sia2 kwkwkwk 
-1,nak tnggu org reply email mmg lambat ah citenya aku nak settle kan bulan ni jgk 
-1,rlt mutualan yu yang gamasalah aku suka rt in ga sama twt receh rt ya dn aku ada tapi follback kalo ngga maapin ak 
-1,sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt 
-1,boleh kot kalau nak buat insta story takyah jerit2 bingit sia telinga aku ckp biasa2 pun orang dah dgr 
-1,orang selalu kata aku penat when dia sebenarnya tengah rasa sedih 
-1,aku beria sekalipun bukannya kau nak appreciate 
-1,aku harap dia tak jual fhone 8 dia semata nak beli xs tu 
-1,assalam macam mana lelaki boleh ingat jalan jauhelekoh belok2 tanpa rujuk maps even pernah pergiekali je kalau aku 
-1,kalen kalen pada jahad ma aku 
-1,weyhh tolonglah faham aku sakit kau langsung tak kesah aku baru balik drpd klinik aku gagahkan badan aku untuk 
-1,lebih baik aku seperti kopi yang dibiarkan membasi daripada kau sapa tapi sekedar basa basi 
-1,aku confuse dgn penjual kt malaysia ni macam asik tunjuk kekayaan je nak jual ke nak show off tunjuk kekayaan then 
-1,udah gausah baper dia itu ngetik cuma pake jari jadi kamu bacanya pake mata aja gausah pake hati 
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
-1, may aku postedih karena gak bisa nonton homeshake amp mild high club di jakaa dan cosmo pyke diingapore 
-1,sakdurunge koe dadi uler aku wes dadi kupu dadi saranku rasah perlu ngetoke goblokmu nganggo coro mbanggake bab nakalm 
-1,dah lah cpk aku
-1,sedih bila aku dengan cerita dr patient aku huhu makcik nie masuk ward sebab heart attack baik sngt suka tegur aku senyu 
-1,aku nangis nih 
-1,aku ditusuk dr belakang sakit 
-1,selama ni mmg ketinggian tk pernah jdi penghalang rupa yg selalu menjadi penghalang 
-1,sedihnya rasa kadang kadang bila doa yg aku doa termakbul walaupun aku bukan hambanya yg terbaik allah tau apa yg kita pe 
-1,i baru 3a hm mengecewakan hang takmau a tu mai kat aku ' 
-1,tapi aku tgok lelaki asia pun mostly lpas kawin badan naik dan boroi 
-1,wanita yang paling malang di dunia adalah wanita yang tersalah pilih suami isteri adalah cerminan suami cantik suamimu cant 
-1,me doin math paper  hshshshshshsh bodo asal takama dgn jawapan aku hshshssh 5 minit lagi tembak 
-1,gila punya perempuan gaduhikit sampai 7 bulan tak tegur lelaki gaduh hari ni esok dah stable sesama 
-1,yng aku blja a yng kuar ujian b yng aku jwb c dan aku dpt gred g ehh taknk la yg dapt btul2 a 
-1,makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku dah tak kuat semb 
-1,tadi pamitnya tidur tapi aku cek ig di dm kamu kok ada ijo ijonya ya 
-1,jangan jadi kompor kamu ya jeffan
-1,orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz 
-1,minta ais batu je la anjir 
-1,iya sabar aku mah tiap ada jeno selalu melesat mengetag amu 
-1,omg batuk aku berdarah adakah ini jumaat yang terakhir 
-1,kepada perempuan yang tak tau leher tu juga aurat tak kisah lah kau pakai turban ke serban ke lantak kau parents kau t 
-1,lah aku tuh susaaah orang dikit dikit kepikiran makanya anaknya gampang pusing dan stress sendiri 
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
-1,dulu waktu kecil gue mikirnya gapapa sekarang jelek item dekil buluk nanti gedenya cakep sampe sekarang sudah 392874 
-1,tu ah pelik aku sunyi sepi damak haritu 
-1,kenapa ya mimpi itu langsung lupa padahal semalem aku mimpi dapetin kamu tapi sekarang lupa caranya recehkantwiter
-1,mau nangis banget aku pas ngerujuk pasien pake ambulance ni mas gojeknya bantuin bukain jalan padahal beliau bukan k 
-1,aku pun tak faham dengan diri aku 
-1,boleh plk dio gi langgar lampu merah kt simpang nk belok kanan aku sempat nepik lagi time kereta merc dari kiri nk 
-1,aku malas nak ikut perkembangan latest iphone xs tu hahahahah sebab tak check pun kalau korang boleh tolong bagitahu kat 
-1,kenapa aku jenis reply chat orang cepat nak mampus sedangkan orang tu lepas sejam baru dia reply and aku boleh terima de 
-1,misalnya ada suatu kondisi dmn aku bnran lg galauin km trus km ngetweet galau seolah2 itu buat aku padahal buat org lain itu babi namanya 
-1,udah kyk gini aja msh di bilang males temen temen aku baju sm celana dalam nya aja juga masih di cuciin emak nya 
-1,mbaknya takut kamu marahin makanya bilang enggak kalo mau coba tanya sekali lagi tapi pas kondisin 
-1,crush kalau nak tegur ye tegur kalau suka cakap suka daripada kau dok tengok je story aku tak pernah missebb 
-1,aku menyerah bapa
-1,apa yang kau nak sebelum meninggal aku nak sebelum aku mati allah ampunkan semua dosa aku dan matikan aku dalam kead 
-1,kamu salah wiwin manusia itu buat teman hidup bukan utk berharap berharap itu sm tuhan alloh 
-1,nggak pengen suudzon dulu kupernah gini yg ilang charm gitu kejadiannya sama persis aku pamerin 
-1,kenapala aku taktegur kau tadi hm padahal niat aku nak tegur kau nak jadi kawan macam sebelum sebelum nierious aku t 
-1,walaupun diri ini dah hancur percayalah aku cuba juga untuk membahagiakan orang sekeliling tanpa putus asa itu sahaja ya 
-1,kenapa aku nangis baca komik ni 
-1,semua masa lalu biarlah berlalu tapi rasa syg aku ke kamu gak bakal bisa berlalu gitu aja aku syg kamu ' 
-1,aku why kena taboks juga a jadi teman papa lum intel 
-1,aku mau ngutuk rizkiko boleh ga 
-1,bukan coba kamu lawan sakitnya bukan coba kamu tentang sakitnya bukan coba kamu lupain sakitnya tapi coba terbiasa dengan 
-1,gimana cara biar aku tau perasaanmu yg sebenarnyaa 
-1,jika engkau tdk mentakdirkan dia untuk ku aku sangat berterimakasih engkau sempat mempertemukanku kembali dgn cipt 
-1,kadang meskipun kamu yakin telah melupakannya sebuah lagu mampu membawa semua kenangan indah bersamanya kembali ke pikiranmu kmutiara
-1,masuk tandas pun bayar okay mana ada free nak main bagi bagi 
-1,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang 
-1,sumpah annoying weh tu masalah kau jgn expect aku selesaikan 
-1,aku ni malas nak layan orang kang tak layan kang kesian dh layan kang fake hope haiyo apa nak buat ni 
-1,aku traumatised tengok fjdjksj kenapa punn dub japanese 
-1,untuk kawan kawan aku yang hisap rokok tu aku sayang korang kalau boleh berhenti ye guys mungkin bukan sekarang kena 
-1,bangsad ditampar gue
-1,malu betul aku ada junior macam asheeq ali ni yihhhhhhh 
-1,kadang kamu harus berhenti peduli pada seseorang bukan karena membencinya tapi karena dia tak pernah menyadari pedulimu katabijak
-1,bengis nya perempuan tu tengok aku haha xhabis2 dendam nya kali dengan aku ni semenjak asasi lagi 
-1,sorry la aku mmg turn off betul kalau perempuan pegi clubbing niebab aku sendiri tak pergi kau bayangkan sempit sem 
-1,bodo betul aku terhibur bodo ada member ceni 
-1,sakit hati bile dengar kisah orang kalau kene sendiri entoh le memang aku ngamuk 
-1,aku hanya ingin melindungi mereka walau harus menjalani penderitaan seperti apapun nagato chapter 373 quoteui
-1,orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz 
-1,bukankah pantas jika aku merasa berbeda 
-1,jika aku memanggilmu jangan tanya kenapa aku memanggilmu itu karena aku rindu tanyalah hatimu rindukah kamu denganku aseq 
-1,aku dan kisah miskinku 
-1,aku nak tengok sampai bila nak berlakon bodoh tu 
-1,amit amit ya allah 
-1,mu gemes banget adminnya aku ga jadi marah 
-1, pernah hehehehe 2 pernah sekali dan aku menyesal 
-1,kita kamu aja please gausah ajak ajak aku 
-1,dom malang nih kamu 
-1,kecewa jugak bila kita ingat dia dah tidur sebab tak reply whatsapp tiba tiba tengok dekat ig boleh pulak reply dm orang 
-1,kamu serupa kegagalan mematahkan tapi ingin terus kuperjuangkan 
-1,sorry wehebabusahkan kau aku tak suka bila kawan aku cakap macam ni kau kawan aku jadi tolong kau tu dah macam tan 
-1,aku kalau dah sakit hati dengan orang muka orang tu pun aku malas tengok 
-1,askmf aku mau kasih kado earphone ke gebetanku tpi gagal jd pacar terus kutilisin dengerin apa yg kamu mau denger jang 
-1,ngetik kangen aku tuh hapus gamau tag orang nya ldmstro 
-1,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa 
-1,dah kenapatudent poal ni aku login accendiri nak buat entranceurvey tapi keluar profile orang lain yang aku tak kenal
-1,dan aku hanyalah penyelam dungu yang mengira ngira lautmu tak berombak harus kusebut apa rasa ini kosong dan rendah gair 
-1,ada masa dimana namamu adalah yang paling aku tungguedangkang sekarang datang masa dimana sebisa mungkin aku berharap tak me 
-1,kamu tu cari kebenaran atau justru pembenaran you do you i'll do me 
-1,member aku ade cite kat aku yang dibreak up dgn gf die time dia cerita suddenly dia menangis weyh 5 tahun bersama kot 
-1,ni kalau aku rt org beranak mahu efa tk nk beranak kalau tgk 
-1,tipu je aku tak pakai makeup 
-1,lagi duit aku dh habis aku lagi lost sia hais 
-1,aku percaya kamu sebaliknya yang ga kupercayai adalah diriku sendiri aku ga punya kepercayaan diri untuk mencintai celty
-1,aku baru liat trailernya kok gak mudeng otak kiriku ya 
-1,kamu aja ga cape ngeboong aku juga ga cape diboongin
-1,sorry la aku mmg turn off betul kalau perempuan pegi clubbing niebab aku sendiri tak pergi kau bayangkan sempit sem 
-1,jika sudah tercekam tak ada yg harus diucapkan diamlah jangan berfikir aku harus bicara apa ya nanti bisa2 nafsu yg bica 
-1,aku gampang bgt nangis liat foto hewan terutama kucing yg luka aja aku nangis
-1,aku penatlah nak berpura pura suka pada orang yang menyusahkan aku bila kau susah aku tak kisah pun orang lain nak tolo 
-1,aku dah pms tok ada jak nebiak nak ngaco emosi aku koh aku eh siku dah burok lebam entam planking jakjak carik la 
-1,hai masih ingat akueseorang yang kau buat terbang tinggi lalu dengan kejamnya kau hempaskan aku begitu saja mengata 
-1,denganmu aku bahagia hidupku di penuhi warna namun jika kamu tinggalkan aku mungkin yang terisa hanya derita yang hanya ak katasayang
-1,wanita yang paling malang di dunia adalah wanita yang tersalah pilih suami isteri adalah cerminan suami cantik suamimu cant 
-1,bener kalo kita merasa dia berubah dari awal ketemu sebenernya dia ga berubah tapi itulah sifat aslinya dia dulu dia baik 
-1,koreaelatan jerman kudampingi kau dari nol sampai mapan eh kamu malah pilih yg lain buat ke pelaminan 
-1,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa 
-1,sorry bro saya lah perempuan tu tapi saya kelam kelibut bukan sebab takut awak tapi sebab baru teringat yang plug ir 
-1,so aku pergi klinik sebab muntah tengok carta organisasi dia buatkan aku nak tergelak apa ni wei 
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
-1,owalah wo prabowo kamu ini yg dukung ulama 22 fpi dkk pks dan partainya amien rais lha kok pake analogi godfather o 
-1,j kamu jangan macem macem ya aku bakal ngawasin kamu dari sini 
-1,aku ga bilang ini bakal negatif ya tapi aku cuma mau jaga2 aja kapok lah disalahkan terus penilaian negatif keti 
-1,tak okay langsung sampai nak video call apa bagai gatal apaa kalau aku mmg tak okay aku yg ada kawan lel 
-1,gf u ni mmg babi babi babi babi bf gf dah lah tak hensem babi pulak tu pergi mampos jela ingat aku hadap ke kau 
-1,haa ini ya mana aku tau yg jual bra mas mas gara dia sekarang kalo chat seller shopee aku ga pernah lagi mangg 
-1,percuma baik kalo gak mau sama aku 
-1,orang selalu kata aku penat when dia sebenarnya tengah rasa sedih 
-1,aku berharap aku gak megang kelas bawah lagi 
-1,masalahnya kau bangga kot kena cat called ngan mat salleh ingat ktorg lupa 
-1,aku join sekali tambah syiling biar mampos jahanam dua ekor tu
-1,aku ngiwo koe nengen aku lungo ojo kangen 
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
-1,ketika aku cemburu dan marah pada mu jangan bosan untuk menjelaskan kebenarannyaabar dengan sikapku yang kadang melelahka 
-1,aku salah ckp ke 
-1,aku penat korang nampak aku main tapi dalaman aku perasaan aku jangan nak sesuka hati judge org 
-1,tu lah aku letih la jgok nk delete bendo tulo ni dio jd automatic post sediri
-1,nasib aku orang johor and stay perak study perlis that's why i'm not single 
-1,gemas banget ya allah wkwkwk ini orderan dari tgl  belum dikirim ownernya sempet tlp sih barang kosong jadi ra 
-1,bahagiaku kamu bahagiamu aku kenapa malah selalu ada celah untuk dia 
-1,ni mesti jenis melayan ni dah layan lelaki ni lepas tu layan lelaki lain pulak lepas tu play victim kata tak in r 
-1,ka kalo suka bilang jangan di empet empet kalo ngelarang ngelarang jdi aku tau alesannya
-1,memang aku ni salah je di mata orang takde satu kebaikan pun yang aku buat yang orang akan hargai terima kasih untuk selama ini 
-1,jadi apa kamu percaya kata orang orang itu tanyaku mengapa harus aku percayaemua orang bebas berpendapat 
-1,kepada perempuan yang tak tau leher tu juga aurat tak kisah lah kau pakai turban ke serban ke lantak kau parents kau tak t 
-1,bagaimana kamu bisa meyakinkan kami bahwa kita sama2 mencintai nkri mencintai presiden nkri yg sah saja kamu tidak mampu 
-1,pejantan alfa amp induknya dibunuh leher bayinya diikat karena akan dijadikan hewan peliharaan jangan beli amp pelihara anak 
-1,aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit 
-1,sampai sekarang do aku tertanya tanya apa faedahnya kita belajar tiup recorder masa sekolah rendah dulu 
-1,iya kak maaf aku salah 
-1,aku confuse dgn penjual kt malaysia ni macam asik tunjuk kekayaan je nak jual ke nak show off tunjuk kekayaan then 
-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
-1,rasanya kebas perasaan marah sedih kecewa ga bisa dirasain lagi entah kemampuan mengolah rasa semakin baik atau 
-1,space memori lelaki banyak kosong sebab tak perlu nak ingat benda bodo pakai apa 6 tahun lepas salah apa 3 tahun lepas mak 
-1,aku tak faham betul lelaki tak suka perempuan pakai makeup 
-1,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang 
-1,perempuan sampah perempuan tu eh yg sampai aku tak 
-1,bodo betul aku terhibur bodo ada member ceni 
-1,tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini 
-1,bila diam je terus kena label kita ni sombongebenarnya aku tak sombong pun just malu and at the same time aku jaga adab juga 
-1,dulu aku selalu dengar orang kata menangis tanpa keluar suara itu lah sakit yg paling mendalam sebenarnya now i feel that 
-1,jadi pengen ngmg sepenggal kalimat yg sering jun ucapin di ff itu ayo bertengkar aku gasuka liat kalian rukun 
-1,sebenarnya takyah la ciri yang bagus pun biar la dia gelap ke kerja cukup makan ke bila dah sayang dia la paling 
-1,takkan aku nak curi feedback orang semata2 nak attract cust tu bukan cara aku bisnes ada jatuh bangun ni mental kena kuat
-1,aku lagi berhalangan 
-1,aku semalam hundred percent takde moodampai kan shuben peluk aku then sayang kenapa ni marah marah abang kan a 
-1,apa guna aku amik lesen kalau tak bagi aku driveupportla anak ni sikittttt hem 
-1,tydack percaya aku 
-1,aku tak boleh kalau orang tengok aku buat kerja automatik jadi bodoh
-1,ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana 
-1,aku ingatkan gagal tadbir negara dengan elok je dia salahkan bn nak bertanding kepentingan parti sendiri pon salahkan bn 
-1,nuduh selingkuh kok habis putus kamu kok kayak aziz gagap lucumu garing
-1,sorry bro saya lah perempuan tu tapi saya kelam kelibut bukan sebab takut awak tapi sebab baru teringat yang plug ir 
-1,aku oleng nder
-1,sayang maaf aku egois aku pengen balikan yuk kita putus 
-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
-1,tapi dlm hati ngedumel dan kesel liat calon2 tentara ini yg gak ngerti budaya antri pengen juga kubilang mas nya 
-1,kenapa nasib aku selalu malang 
-1,argh semua sembang penat dah ajak semua busy koyak aku
-1,kekadang rasa nak sakit je terlantar dekat hospitalebab aku nak tengok siapa yang peduli datang tengok aku selain family 
-1,gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp 
-1,mu maaf kalau disgusting aku lagi bruntusan banget wajah banyak bopeng dan banyak noda hitam bagusnya pakai a 
-1,marahin aku tu koooo kompor
-1,j kamu jangan macem macem ya aku bakal ngawasin kamu dari sini 
-1,aku tak faham betul lelaki tak suka perempuan pakai makeup 
-1,bodo amat ah yang lagi limit sama sensi gue undang buat dateng ditungguin pokoknya dateng belakangan ju 
-1,if you guys dapat call dari no ni then dia kata salah masuk topup jangan percaya this one scammer yg try hard cari s 
-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
-1,kalian anak smk suka kesel gak sih kalo diejek otaknya cetek sama anak sma kan kadang adatuh anak sma yg sok die 
-1,sekelas jack ma aja males mati di kantor lah aku 
-1,aku kalau dah sakit hati dengan orang muka orang tu pun aku malas tengok 
-1,duh serem
-1,see sapa yang paling bullshit 
-1,aku ambyar 
-1,cuma nk cakap la aku tak pernah rasa sebodoh ini time math yew
-1,dan aku pantang bila tengok mak pak yang jadi bodo n buat bodo bila anak misbehave kat public 
-1,sorry la aku mmg turn off betul kalau perempuan pegi clubbing niebab aku sendiri tak pergi kau bayangkan sempit sem 
-1,aku kalo ibuku ngomong jangan males begitu nanti kamu punya anak males juga dalem hat 
-1,ih engga masih jabar maksud aku 
-1,assalam macam mana lelaki boleh ingat jalan jauhelekoh belok2 tanpa rujuk maps even pernah pergiekali je kalau aku 
-1,bodola emma tak jadi aku nak murung harini 
-1,yang kangen sama aku mana nih retweet nya say 
-1,aku dilahirkan di bumi ni memang untuk jaga hati semua pihakampai hati aku barai pun tak ada orang kesah hmm
-1,shit susah sial muka cina semua dtg kat aku and just shoot me up with mandarin dayum boi 
-1,satu je aku kalau dah fed up mmg aku fed up ah tu tak kisah la dgn sapa 2 pun 
-1,hah lagi kamu tuh cari tempat yang enak jgn di kebon belakang rumah pak rw ya jelas digrebek 
-1,minta ais batu je la anjir 
-1,ini engga ada yang bisa aku stalk apa ya 
-1,takada masa aku susah
-1,kayanya aku gak pernah untung give away hmm
-1,untuk kawan kawan aku yang hisap rokok tu aku sayang korang kalau boleh berhenti ye guys mungkin bukan sekarang kena 
-1,nggak butuh alesan aku bisa bicara apa aja sama kamu nyaman
-1,kuat sangat hantu kat rumah aku ni 
-1,aku bukan orang kelantan but sometimes muak jugak aku dengan tweet macam ni be more specific la mention orang tu better ca 
-1,saat kamu jauh aku jatuh pelaminanhujan 
-1,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi 
-1,nampak reaction muka aku lain macam please jangan tegur takut kemurungan seharian
-1,bukan aku ni feminism ke ape cume pelik bila lelaki tegur perempuan tapi still dorng punye masih tak terjaga ki 
-1,bodo amat aku mah kak tik wkwkwk
-1,when u so fuckin bored with u're life pgn ndlosor ndlosor aku
-1,aku selalu berkorban dan rela mengorbankan perasaan demi kamu tapiemua ga ada artinya dimata kamu  
-1,kamu nyindir aku yha hahaha yang aku anggep temen tuh dikit tapi kenalanku banyak gatau ya semakin dewasa circ 
-1,bodo betul aku terhibur bodo ada member ceni 
-1,aku suka kaler ni tapi kalau aku pakai dah boleh agak dah buruk nya macam mana 
-1,hehe kenapa gitu takut aku pingsan tibatiba ya g
-1,sampai sekarang do aku tertanya tanya apa faedahnya kita belajar tiup recorder masa sekolah rendah dulu 
-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
-1,salah satu thread yang menyusah dan menyemakkan kepala orang banyak betul pause kau 
-1,me everytime my bf tell me that i'm pretty apaan sih woy najis begitu dibilang cantik jangan gt ak 
-1,ex aku dulu bukak wallet aku amek duit pastu buat muka comel baby amek sikit eaaaa 
-1,perkara paling aku takut bila tak sengaja terlukakan hati seseorang 
-1,roommate hasut ajak makan tapi aku malas sangat nak turun cafe 
-1,orang yang belum ada dalam hidup aku tolong jangan datang aku tak nak malas 
-1,aku nggak pernah baik baik saja kalau lagi kangen sama kamu 
-1,sedih bila aku dengan cerita dr patient aku huhu makcik nie masuk ward sebab heart attack baik sngt suka tegur aku senyu 
-1,adik aku ni spesis mulut manis dgn gf tapi dengan aku mulut cam gampang geram aku 
-1,kawanku bilang ke aku kau orng islam kok makan bpk kan haram dengn santai ku jawab aku juga masih suka alkohol 
